Server Type,OS,Friendly,Instance Size ,CPU,Memory,Network,Elasticity,Storage,Price,SKU,Title,template
Oracle,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,80,162562,SVR_RHL5_ORCL_005,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,80,178762,SVR_RHL5_ORCL_006,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,80,55800,SVR_RHL5_ORCL_007,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,80,55800,SVR_RHL5_ORCL_008,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,80,72000,SVR_RHL5_ORCL_009,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,80,162562,SVR_RHL5_ORCL_010,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,80,162562,SVR_RHL5_ORCL_011,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,80,178762,SVR_RHL5_ORCL_012,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,80,55800,SVR_RHL5_ORCL_013,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,80,55800,SVR_RHL5_ORCL_014,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,80,72000,SVR_RHL5_ORCL_015,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,80,162562,SVR_RHL5_ORCL_016,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,80,162562,SVR_RHL5_ORCL_017,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,80,178762,SVR_RHL5_ORCL_018,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,80,55800,SVR_RHL5_ORCL_019,RHEL 5 Oracle Database Server,server
