Server Type,OS,Friendly,Instance Size ,CPU,Memory,Network,Elasticity,Storage,Price,SKU,Title,template
Weblogic,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,161752,SVR_RHL6_WBL_012,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,53100,SVR_RHL6_WBL_013,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Medium - 2 vCPU / 6 GB,Mediumium,2,6,Development,Yes,50,53100,SVR_RHL6_WBL_014,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,69300,SVR_RHL6_WBL_015,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,145552,SVR_RHL6_WBL_016,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,145552,SVR_RHL6_WBL_017,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,161752,SVR_RHL6_WBL_018,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,53100,SVR_RHL6_WBL_019,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,53100,SVR_RHL6_WBL_020,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,69300,SVR_RHL6_WBL_021,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,145552,SVR_RHL6_WBL_022,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,145552,SVR_RHL6_WBL_023,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,161752,SVR_RHL6_WBL_024,RHEL 6 WebLogic Server,server
Weblogic,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,53100,SVR_RHL5_WBL_001,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,53100,SVR_RHL5_WBL_002,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,69300,SVR_RHL5_WBL_003,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,145552,SVR_RHL5_WBL_004,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,145552,SVR_RHL5_WBL_005,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,161752,SVR_RHL5_WBL_006,RHEL 5 WebLogic Server,server
